[2339, 1654]
[folio, [118.0, 60.0, 732.0, 36.0], shoonya_3sTIXG3Y6EEIGF, 5750753]
[paragraph, [257.0, 123.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 159.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 195.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 231.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 267.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 303.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 339.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 375.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 411.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 447.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 483.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 519.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 555.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 591.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 627.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 663.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 699.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 735.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 771.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 807.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 843.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 879.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 915.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 951.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 987.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 1023.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 1059.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 1095.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 1131.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 1167.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 1203.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
[paragraph, [257.0, 1239.0, 1154.0, 36.0], shoonya_4sP4E90OQSX7GO, 5750753]
