[2067, 1567]
[folio, [191.0, 191.0, 136.0, 36.0], Xv20b5VlHG, 5735570]
[folio, [1216.0, 197.0, 158.0, 36.0], jHvNOqfMsj, 5735570]
[paragraph, [791.0, 253.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 289.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 325.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 361.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 397.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 433.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 469.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 505.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 541.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 577.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 613.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 649.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 685.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 721.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 757.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 793.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [791.0, 829.0, 581.0, 36.0], shoonya_0sDK3PX8CII0WY, 5735570]
[paragraph, [191.0, 265.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 301.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 337.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 373.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 409.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 445.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 481.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 517.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 553.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 589.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 625.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 661.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 697.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 733.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 769.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 805.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 841.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 877.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 913.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 949.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 985.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1021.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1057.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1093.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1129.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1165.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1201.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1237.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1273.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1309.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1345.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1381.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [191.0, 1417.0, 582.0, 36.0], shoonya_3sJN5DEX8D0DSN, 5735570]
[paragraph, [791.0, 873.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 909.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 945.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 981.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1017.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1053.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1089.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1125.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1161.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1197.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1233.0, 580.0, 36.0], shoonya_1sTRTNJI0VM5H9, 5735570]
[paragraph, [791.0, 1274.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1310.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1346.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1382.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1418.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1454.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1490.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1526.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1562.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1598.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1634.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1670.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1706.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [791.0, 1742.0, 581.0, 36.0], shoonya_2sU0R19T3ZK8OI, 5735570]
[paragraph, [192.0, 1495.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[paragraph, [192.0, 1531.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[paragraph, [192.0, 1567.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[paragraph, [192.0, 1603.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[paragraph, [192.0, 1639.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[paragraph, [192.0, 1675.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[paragraph, [192.0, 1711.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[paragraph, [192.0, 1747.0, 583.0, 36.0], shoonya_4sOIG3BGFX2O4J, 5735570]
[sidebar, [1404.0, 1573.0, 148.0, 36.0], 3PI6BCjhIK, 5735570]
[folio, [187.0, 1820.0, 232.0, 36.0], fpPB34ZgjM, 5735570]
