[1754, 1241]
[paragraph, [185.0, 102.0, 946.0, 36.0], shoonya_0s5BEMZ7GQS614, 5709207]
[paragraph, [185.0, 138.0, 946.0, 36.0], shoonya_0s5BEMZ7GQS614, 5709207]
[paragraph, [185.0, 174.0, 946.0, 36.0], shoonya_0s5BEMZ7GQS614, 5709207]
[ordered-list, [179.0, 232.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 268.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 304.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 340.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 376.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 412.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 448.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 484.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 520.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 556.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 592.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 628.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 664.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 700.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 736.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 772.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 808.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 844.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 880.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 916.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
[ordered-list, [179.0, 952.0, 949.0, 36.0], lfUJpbiGQn, 5709207]
