[1425, 1088]
[figure-caption, [599.0, 175.0, 190.0, 18.0], pbgSfO2YRR, 5759346]
[figure-caption, [599.0, 193.0, 190.0, 18.0], pbgSfO2YRR, 5759346]
[figure-caption, [599.0, 211.0, 190.0, 18.0], pbgSfO2YRR, 5759346]
[unordered-list, [152.0, 496.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 514.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 532.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 550.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 568.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 586.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 604.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 622.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 640.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 658.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 676.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 694.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 712.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 730.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 748.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [152.0, 766.0, 421.0, 18.0], pNwJpq_A6W, 5759346]
[unordered-list, [591.0, 499.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 517.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 535.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 553.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 571.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 589.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 607.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 625.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 643.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 661.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 679.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 697.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 715.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 733.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[unordered-list, [591.0, 751.0, 410.0, 18.0], aVQzN1iNxt, 5759346]
[paragraph, [137.0, 805.0, 850.0, 18.0], _5Gl4tNJp_, 5759346]
[paragraph, [137.0, 823.0, 850.0, 18.0], _5Gl4tNJp_, 5759346]
[paragraph, [137.0, 841.0, 850.0, 18.0], _5Gl4tNJp_, 5759346]
[unordered-list, [131.0, 894.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 912.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 930.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 948.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 966.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 984.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1002.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1020.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1038.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1056.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1074.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1092.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1110.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1128.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1146.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1164.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1182.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1200.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1218.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1236.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1254.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[unordered-list, [131.0, 1272.0, 864.0, 18.0], shoonya_1sXL2YRXPA9T1X, 5759346]
[folio, [129.0, 1364.0, 159.0, 18.0], shoonya_3s2E98ELISSLBX, 5759346]
