[2339, 1656]
[paragraph, [67.0, 95.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 131.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 167.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 203.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 239.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 275.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 311.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 347.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 383.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 419.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 455.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 491.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 527.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 563.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 599.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 635.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 671.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 707.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 743.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 779.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 815.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 851.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 887.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 923.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 959.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 995.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1031.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1067.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1103.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1139.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1175.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1211.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1247.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
[paragraph, [67.0, 1283.0, 718.0, 36.0], shoonya_1sFH8POC7FACL4, 5749589]
