[1795, 1184]
[chapter-title, [372.0, 360.0, 447.0, 58.5], shoonya_3sP7YXXHR1H0MU, 5750030]
[paragraph, [163.0, 475.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 511.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 547.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 583.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 619.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 655.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 691.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 727.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 763.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 799.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 835.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 871.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [163.0, 907.0, 874.0, 36.0], shoonya_1sP0IZTEXAGXDG, 5750030]
[paragraph, [164.0, 959.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 995.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1031.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1067.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1103.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1139.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1175.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1211.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1247.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1283.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1319.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1355.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1391.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1427.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1463.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
[paragraph, [164.0, 1499.0, 873.0, 36.0], shoonya_0s9YBS61A3YIB2, 5750030]
