[589, 405]
[paragraph, [33.0, 32.0, 323.0, 18.0], rHxmG8zRFj, 6495363]
[paragraph, [33.0, 50.0, 323.0, 18.0], rHxmG8zRFj, 6495363]
[paragraph, [33.0, 68.0, 323.0, 18.0], rHxmG8zRFj, 6495363]
[paragraph, [33.0, 86.0, 323.0, 18.0], rHxmG8zRFj, 6495363]
[paragraph, [33.0, 104.0, 323.0, 18.0], rHxmG8zRFj, 6495363]
[paragraph, [33.0, 122.0, 323.0, 18.0], rHxmG8zRFj, 6495363]
[paragraph, [32.0, 156.0, 327.0, 18.0], shoonya_0sGXKTSRQYXN7G, 6495363]
[paragraph, [32.0, 174.0, 327.0, 18.0], shoonya_0sGXKTSRQYXN7G, 6495363]
[paragraph, [32.0, 192.0, 327.0, 18.0], shoonya_0sGXKTSRQYXN7G, 6495363]
[paragraph, [32.0, 210.0, 327.0, 18.0], shoonya_0sGXKTSRQYXN7G, 6495363]
[paragraph, [32.0, 228.0, 327.0, 18.0], shoonya_0sGXKTSRQYXN7G, 6495363]
[paragraph, [32.0, 257.0, 324.0, 18.0], CgmStjZIxl, 6495363]
[paragraph, [32.0, 275.0, 324.0, 18.0], CgmStjZIxl, 6495363]
[paragraph, [32.0, 293.0, 324.0, 18.0], CgmStjZIxl, 6495363]
[paragraph, [32.0, 311.0, 324.0, 18.0], CgmStjZIxl, 6495363]
[paragraph, [32.0, 329.0, 324.0, 18.0], CgmStjZIxl, 6495363]
[paragraph, [33.0, 360.0, 323.0, 18.0], w8NApOnVck, 6495363]
[paragraph, [33.0, 378.0, 323.0, 18.0], w8NApOnVck, 6495363]
[paragraph, [33.0, 396.0, 323.0, 18.0], w8NApOnVck, 6495363]
[paragraph, [33.0, 414.0, 323.0, 18.0], w8NApOnVck, 6495363]
[paragraph, [33.0, 432.0, 323.0, 18.0], w8NApOnVck, 6495363]
[paragraph, [33.0, 450.0, 323.0, 18.0], w8NApOnVck, 6495363]
[paragraph, [33.0, 468.0, 323.0, 18.0], w8NApOnVck, 6495363]
[paragraph, [33.0, 486.0, 323.0, 18.0], w8NApOnVck, 6495363]
