[2339, 1654]
[folio, [105.0, 52.0, 354.0, 36.0], shoonya_2sM59VUCNPHPV5, 5750595]
[paragraph, [95.0, 93.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 129.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 165.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 201.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 237.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 273.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 309.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 345.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 381.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 417.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 453.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 489.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 525.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 561.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 597.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 633.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 669.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 705.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 741.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 777.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 813.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 849.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [95.0, 885.0, 1454.0, 36.0], MJkPFh9Lnr, 5750595]
[paragraph, [101.0, 922.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 958.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 994.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1030.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1066.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1102.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1138.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1174.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1210.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1246.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1282.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1318.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1354.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1390.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1426.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1462.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1498.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [101.0, 1534.0, 1444.0, 36.0], shoonya_1sHPSCAJ6EEYN9, 5750595]
[paragraph, [97.0, 1564.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1600.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1636.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1672.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1708.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1744.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1780.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1816.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1852.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1888.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1924.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1960.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 1996.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 2032.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
[paragraph, [97.0, 2068.0, 1468.0, 36.0], shoonya_0sTYLHWWGRG4B9, 5750595]
