[1152, 739]
[paragraph, [99.0, 171.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 189.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 207.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 225.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 243.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 261.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 279.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 297.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 315.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 333.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [99.0, 351.0, 553.0, 18.0], shoonya_1sQTHKX7DWENGU, 5740488]
[paragraph, [101.0, 383.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [101.0, 401.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [101.0, 419.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [101.0, 437.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [101.0, 455.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [101.0, 473.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [101.0, 491.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [101.0, 509.0, 581.0, 18.0], VRh9R-I6aV, 5740488]
[paragraph, [92.0, 555.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 573.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 591.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 609.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 627.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 645.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 663.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 681.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 699.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 717.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 735.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 753.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 771.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 789.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 807.0, 569.0, 18.0], a3eYHFaK2C, 5740488]
[paragraph, [92.0, 846.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 864.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 882.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 900.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 918.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 936.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 954.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 972.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 990.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[paragraph, [92.0, 1008.0, 570.0, 18.0], gGsrSA6xG-, 5740488]
[footnote, [411.0, 1106.0, 284.0, 18.0], XVgyo3NLvM, 5740488]
[footnote, [411.0, 1124.0, 284.0, 18.0], XVgyo3NLvM, 5740488]
