[1787, 1218]
[paragraph, [102.0, 77.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 113.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 149.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 185.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 221.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 257.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 293.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 329.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [102.0, 365.0, 1050.0, 36.0], shoonya_0sKDAMN3722SJ5, 5651201]
[paragraph, [72.0, 423.0, 1111.0, 36.0], shoonya_1s0KLMCKJYKM76, 5651201]
[paragraph, [72.0, 459.0, 1111.0, 36.0], shoonya_1s0KLMCKJYKM76, 5651201]
[paragraph, [76.0, 506.0, 1119.0, 36.0], shoonya_2sL1IOYDG259XV, 5651201]
[paragraph, [76.0, 542.0, 1119.0, 36.0], shoonya_2sL1IOYDG259XV, 5651201]
[paragraph, [76.0, 578.0, 1119.0, 36.0], shoonya_2sL1IOYDG259XV, 5651201]
[paragraph, [76.0, 614.0, 1119.0, 36.0], shoonya_2sL1IOYDG259XV, 5651201]
[paragraph, [76.0, 650.0, 1119.0, 36.0], shoonya_2sL1IOYDG259XV, 5651201]
[paragraph, [42.0, 704.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 740.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 776.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 812.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 848.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 884.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 920.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 956.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 992.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 1028.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 1064.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 1100.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 1136.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 1172.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 1208.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [42.0, 1244.0, 1143.0, 36.0], d4hC70dT6h, 5651201]
[paragraph, [187.0, 1312.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1348.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1384.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1420.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1456.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1492.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1528.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1564.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[paragraph, [187.0, 1600.0, 851.0, 36.0], MiFdlKNwO-, 5651201]
[footnote, [450.0, 1645.0, 223.0, 36.0], 9wYk5ZdRae, 5651201]
