[792, 612]
[folio, [259.0, 59.0, 100.0, 18.0], 5LcqgAxJHN, 6491559]
[paragraph, [90.0, 99.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 117.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 135.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 153.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 171.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 189.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 207.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 225.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 243.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 261.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 279.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 297.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 315.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 333.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [90.0, 351.0, 438.0, 18.0], sQZclxSO_j, 6491559]
[paragraph, [138.0, 376.0, 289.0, 18.0], 2HskgFV46c, 6491559]
[paragraph, [88.0, 402.0, 425.0, 18.0], r6YM6mxGnG, 6491559]
[paragraph, [88.0, 420.0, 425.0, 18.0], r6YM6mxGnG, 6491559]
[paragraph, [95.0, 446.0, 419.0, 18.0], U5RlMlCnpm, 6491559]
[paragraph, [95.0, 464.0, 419.0, 18.0], U5RlMlCnpm, 6491559]
[paragraph, [95.0, 482.0, 419.0, 18.0], U5RlMlCnpm, 6491559]
[paragraph, [95.0, 500.0, 419.0, 18.0], U5RlMlCnpm, 6491559]
[paragraph, [95.0, 538.0, 423.0, 18.0], gjXUM9YeBI, 6491559]
[paragraph, [95.0, 556.0, 423.0, 18.0], gjXUM9YeBI, 6491559]
[paragraph, [95.0, 574.0, 423.0, 18.0], gjXUM9YeBI, 6491559]
[paragraph, [95.0, 592.0, 423.0, 18.0], gjXUM9YeBI, 6491559]
[paragraph, [95.0, 610.0, 423.0, 18.0], gjXUM9YeBI, 6491559]
[paragraph, [95.0, 628.0, 423.0, 18.0], gjXUM9YeBI, 6491559]
[paragraph, [90.0, 651.0, 424.0, 18.0], jlD-dg2y43, 6491559]
[paragraph, [90.0, 669.0, 424.0, 18.0], jlD-dg2y43, 6491559]
[paragraph, [90.0, 687.0, 424.0, 18.0], jlD-dg2y43, 6491559]
[paragraph, [90.0, 705.0, 424.0, 18.0], jlD-dg2y43, 6491559]
[paragraph, [90.0, 723.0, 424.0, 18.0], jlD-dg2y43, 6491559]
