[1050, 693]
[folio, [91.0, 82.0, 86.0, 18.0], shoonya_1sU9R1732YPPL3, 5702143]
[folio, [91.0, 100.0, 86.0, 18.0], shoonya_1sU9R1732YPPL3, 5702143]
[paragraph, [76.0, 126.0, 522.0, 18.0], shoonya_0s44KJ3FEI89NF, 5702143]
[paragraph, [76.0, 144.0, 522.0, 18.0], shoonya_0s44KJ3FEI89NF, 5702143]
[paragraph, [76.0, 162.0, 522.0, 18.0], shoonya_0s44KJ3FEI89NF, 5702143]
[paragraph, [76.0, 180.0, 522.0, 18.0], shoonya_0s44KJ3FEI89NF, 5702143]
[paragraph, [76.0, 198.0, 522.0, 18.0], shoonya_0s44KJ3FEI89NF, 5702143]
[paragraph, [76.0, 216.0, 522.0, 18.0], shoonya_0s44KJ3FEI89NF, 5702143]
[paragraph, [76.0, 234.0, 522.0, 18.0], shoonya_0s44KJ3FEI89NF, 5702143]
[paragraph, [81.0, 269.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 287.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 305.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 323.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 341.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 359.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 377.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 395.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 413.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 431.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 449.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 467.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 485.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 503.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 521.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 539.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 557.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 575.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 593.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 611.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 629.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 647.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 665.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 683.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 701.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 719.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 737.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 755.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 773.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 791.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 809.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 827.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 845.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [81.0, 863.0, 525.0, 18.0], wuL-3t2QD_, 5702143]
[paragraph, [91.0, 907.0, 540.0, 18.0], bFP2gsga-C, 5702143]
[paragraph, [91.0, 925.0, 540.0, 18.0], bFP2gsga-C, 5702143]
[paragraph, [91.0, 943.0, 540.0, 18.0], bFP2gsga-C, 5702143]
