[567, 454]
[chapter-title, [231.0, 140.0, 198.0, 30.0], ryJbVTH0WN, 6459529]
[paragraph, [31.0, 191.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 209.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 227.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 245.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 263.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 281.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 299.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 317.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 335.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [31.0, 353.0, 191.0, 18.0], shoonya_3sEP39A5A48ZQ6, 6459529]
[paragraph, [229.0, 192.0, 51.0, 18.0], 9EnBEW9qKz, 6459529]
[paragraph, [226.0, 217.0, 190.0, 18.0], QzYbQ7EE7F, 6459529]
[paragraph, [226.0, 235.0, 190.0, 18.0], QzYbQ7EE7F, 6459529]
[paragraph, [226.0, 273.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [226.0, 291.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [226.0, 309.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [226.0, 327.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [226.0, 345.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [226.0, 363.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [226.0, 381.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [226.0, 399.0, 194.0, 18.0], OgsVUk9ouk, 6459529]
[paragraph, [28.0, 381.0, 196.0, 18.0], gBFW6vjsc7, 6459529]
[paragraph, [28.0, 399.0, 196.0, 18.0], gBFW6vjsc7, 6459529]
[paragraph, [28.0, 417.0, 196.0, 18.0], gBFW6vjsc7, 6459529]
[paragraph, [28.0, 435.0, 196.0, 18.0], gBFW6vjsc7, 6459529]
[paragraph, [28.0, 453.0, 196.0, 18.0], gBFW6vjsc7, 6459529]
[paragraph, [28.0, 471.0, 196.0, 18.0], gBFW6vjsc7, 6459529]
[paragraph, [28.0, 489.0, 196.0, 18.0], gBFW6vjsc7, 6459529]
[paragraph, [224.0, 422.0, 194.0, 18.0], rQIU6iP7P-, 6459529]
[paragraph, [224.0, 440.0, 194.0, 18.0], rQIU6iP7P-, 6459529]
[paragraph, [224.0, 475.0, 198.0, 18.0], 3Q0f1ONm_9, 6459529]
[paragraph, [224.0, 493.0, 198.0, 18.0], 3Q0f1ONm_9, 6459529]
[folio, [115.0, 521.0, 228.0, 18.0], 8355Lq-k66, 6459529]
