[1818, 1374]
[folio, [625.0, 107.0, 128.0, 36.0], shoonya_3s6ZUXEPXPXXGJ, 5682043]
[paragraph, [110.0, 176.0, 565.0, 36.0], shoonya_0sIW2MW1C6AYEY, 5682043]
[paragraph, [110.0, 212.0, 565.0, 36.0], shoonya_0sIW2MW1C6AYEY, 5682043]
[paragraph, [110.0, 248.0, 565.0, 36.0], shoonya_0sIW2MW1C6AYEY, 5682043]
[paragraph, [688.0, 181.0, 589.0, 36.0], EzIYBpFbKr, 5682043]
[paragraph, [688.0, 217.0, 589.0, 36.0], EzIYBpFbKr, 5682043]
[paragraph, [688.0, 253.0, 589.0, 36.0], EzIYBpFbKr, 5682043]
[paragraph, [688.0, 289.0, 589.0, 36.0], EzIYBpFbKr, 5682043]
[paragraph, [688.0, 325.0, 589.0, 36.0], EzIYBpFbKr, 5682043]
[paragraph, [109.0, 302.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 338.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 374.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 410.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 446.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 482.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 518.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 554.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 590.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 626.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [109.0, 662.0, 565.0, 36.0], 9F7lw77oLL, 5682043]
[paragraph, [690.0, 391.0, 589.0, 36.0], 23sOHbRj7q, 5682043]
[paragraph, [690.0, 427.0, 589.0, 36.0], 23sOHbRj7q, 5682043]
[paragraph, [693.0, 477.0, 583.0, 36.0], hxSVU_952G, 5682043]
[paragraph, [693.0, 513.0, 583.0, 36.0], hxSVU_952G, 5682043]
[paragraph, [695.0, 560.0, 582.0, 36.0], E4TrOyObiJ, 5682043]
[paragraph, [695.0, 596.0, 582.0, 36.0], E4TrOyObiJ, 5682043]
[paragraph, [699.0, 646.0, 577.0, 36.0], gwEqClj8aN, 5682043]
[paragraph, [699.0, 682.0, 577.0, 36.0], gwEqClj8aN, 5682043]
[paragraph, [699.0, 718.0, 577.0, 36.0], gwEqClj8aN, 5682043]
[paragraph, [109.0, 728.0, 566.0, 36.0], tPpBs4xXyK, 5682043]
[paragraph, [109.0, 764.0, 566.0, 36.0], tPpBs4xXyK, 5682043]
[paragraph, [704.0, 774.0, 570.0, 36.0], aCo_58ChcX, 5682043]
[paragraph, [704.0, 810.0, 570.0, 36.0], aCo_58ChcX, 5682043]
[paragraph, [699.0, 856.0, 566.0, 36.0], ZFK3ZPgU21, 5682043]
[paragraph, [699.0, 892.0, 566.0, 36.0], ZFK3ZPgU21, 5682043]
[paragraph, [699.0, 928.0, 566.0, 36.0], ZFK3ZPgU21, 5682043]
[paragraph, [97.0, 857.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 893.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 929.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 965.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 1001.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 1037.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 1073.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 1109.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 1145.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
[paragraph, [97.0, 1181.0, 577.0, 36.0], 0kEXW8qsNN, 5682043]
