[2339, 1654]
[paragraph, [369.0, 289.0, 1032.0, 36.0], shoonya_7sFT0UR0AEXIB2, 5737836]
[paragraph, [369.0, 325.0, 1032.0, 36.0], shoonya_7sFT0UR0AEXIB2, 5737836]
[paragraph, [369.0, 361.0, 1032.0, 36.0], shoonya_7sFT0UR0AEXIB2, 5737836]
[ordered-list, [375.0, 407.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 443.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 479.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 515.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 551.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 587.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 623.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 659.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 695.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 731.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 767.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 803.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 839.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 875.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 911.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 947.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 983.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1019.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1055.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1091.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1127.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1163.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1199.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1235.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[ordered-list, [375.0, 1271.0, 1029.0, 36.0], shoonya_3sNLR9P7O03V5V, 5737836]
[paragraph, [376.0, 1376.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1412.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1448.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1484.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1520.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1556.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1592.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1628.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [376.0, 1664.0, 1021.0, 36.0], shoonya_0s8EIYKZ3U7VBX, 5737836]
[paragraph, [367.0, 1741.0, 1044.0, 36.0], qvRemXbYIy, 5737836]
[paragraph, [367.0, 1777.0, 1044.0, 36.0], qvRemXbYIy, 5737836]
[paragraph, [367.0, 1813.0, 1044.0, 36.0], qvRemXbYIy, 5737836]
[paragraph, [367.0, 1849.0, 1044.0, 36.0], qvRemXbYIy, 5737836]
[footnote, [373.0, 1930.0, 934.0, 36.0], shoonya_4sE7TDOZ9ZHHV6, 5737836]
[folio, [1214.0, 2255.0, 390.0, 36.0], 2i-WPTyiGY, 5737836]
