[2304, 1632]
[paragraph, [409.0, 168.0, 1059.0, 36.0], 9n_luNyY_w, 5699335]
[paragraph, [409.0, 204.0, 1059.0, 36.0], 9n_luNyY_w, 5699335]
[paragraph, [409.0, 240.0, 1059.0, 36.0], 9n_luNyY_w, 5699335]
[ordered-list, [319.0, 296.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 332.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 368.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 404.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 440.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 476.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 512.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 548.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 584.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 620.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 656.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 692.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 728.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 764.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 800.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 836.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 872.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 908.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 944.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 980.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 1016.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 1052.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 1088.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 1124.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 1160.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[ordered-list, [319.0, 1196.0, 1168.0, 36.0], 7nnm5tQVPZ, 5699335]
[paragraph, [302.0, 1292.0, 1173.0, 36.0], shoonya_1sEOQK086W78ZD, 5699335]
[paragraph, [302.0, 1328.0, 1173.0, 36.0], shoonya_1sEOQK086W78ZD, 5699335]
[paragraph, [302.0, 1364.0, 1173.0, 36.0], shoonya_1sEOQK086W78ZD, 5699335]
