[1200, 825]
[paragraph, [142.0, 106.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 124.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 142.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 160.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 178.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 196.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 214.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 232.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 250.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 268.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 286.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 304.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 322.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 340.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 358.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 376.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 394.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 412.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 430.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 448.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 466.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 484.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [142.0, 502.0, 540.0, 18.0], shoonya_1sSGBX331155VY, 5691416]
[paragraph, [144.0, 537.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 555.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 573.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 591.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 609.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 627.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 645.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 663.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 681.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 699.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 717.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 735.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 753.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 771.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 789.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 807.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 825.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 843.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 861.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 879.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 897.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 915.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 933.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 951.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [144.0, 969.0, 538.0, 18.0], shoonya_0s5LQ64AV0XWGH, 5691416]
[paragraph, [141.0, 999.0, 542.0, 18.0], shoonya_3sKES50OCXA9V9, 5691416]
[paragraph, [141.0, 1017.0, 542.0, 18.0], shoonya_3sKES50OCXA9V9, 5691416]
[paragraph, [141.0, 1035.0, 542.0, 18.0], shoonya_3sKES50OCXA9V9, 5691416]
