[2339, 1653]
[folio, [286.0, 218.0, 191.0, 36.0], flV-vWbmTP, 5655029]
[paragraph, [283.0, 311.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 347.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 383.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 419.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 455.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 491.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 527.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 563.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 599.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 635.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 671.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 707.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 743.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 779.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 815.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [283.0, 851.0, 1079.0, 36.0], shoonya_1sY3RIP0NHPUC3, 5655029]
[paragraph, [285.0, 933.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 969.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1005.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1041.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1077.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1113.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1149.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1185.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1221.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1257.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1293.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1329.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1365.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1401.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1437.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1473.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1509.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1545.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1581.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1617.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1653.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1689.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1725.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1761.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1797.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1833.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1869.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1905.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1941.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 1977.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
[paragraph, [285.0, 2013.0, 1080.0, 36.0], shoonya_0sNAWLYUEEEK0A, 5655029]
