[834, 609]
[folio, [62.0, 40.0, 142.0, 18.0], WzmUIUxPGt, 5712470]
[headline, [124.0, 93.0, 363.0, 25.5], shoonya_0sHKEHMWAPQ9EH, 5712470]
[paragraph, [49.0, 127.0, 303.0, 18.0], FzjAGnqg1I, 5712470]
[paragraph, [49.0, 145.0, 303.0, 18.0], FzjAGnqg1I, 5712470]
[paragraph, [49.0, 163.0, 303.0, 18.0], FzjAGnqg1I, 5712470]
[paragraph, [49.0, 181.0, 303.0, 18.0], FzjAGnqg1I, 5712470]
[paragraph, [49.0, 199.0, 303.0, 18.0], FzjAGnqg1I, 5712470]
[paragraph, [49.0, 217.0, 303.0, 18.0], FzjAGnqg1I, 5712470]
[paragraph, [49.0, 235.0, 303.0, 18.0], FzjAGnqg1I, 5712470]
[section-title, [360.0, 130.0, 184.0, 30.0], XJt-RAZUgb, 5712470]
[paragraph, [357.0, 195.0, 200.0, 18.0], 5gtRXkhFeo, 5712470]
[paragraph, [357.0, 213.0, 200.0, 18.0], 5gtRXkhFeo, 5712470]
[paragraph, [357.0, 231.0, 200.0, 18.0], 5gtRXkhFeo, 5712470]
[paragraph, [357.0, 249.0, 200.0, 18.0], 5gtRXkhFeo, 5712470]
[paragraph, [357.0, 267.0, 200.0, 18.0], 5gtRXkhFeo, 5712470]
[paragraph, [45.0, 256.0, 310.0, 18.0], 0dPCrMSlZd, 5712470]
[paragraph, [51.0, 285.0, 134.0, 18.0], 18P7X5KrXI, 5712470]
[paragraph, [51.0, 303.0, 134.0, 18.0], 18P7X5KrXI, 5712470]
[paragraph, [51.0, 321.0, 134.0, 18.0], 18P7X5KrXI, 5712470]
[paragraph, [51.0, 339.0, 134.0, 18.0], 18P7X5KrXI, 5712470]
[paragraph, [51.0, 357.0, 134.0, 18.0], 18P7X5KrXI, 5712470]
[paragraph, [51.0, 375.0, 134.0, 18.0], 18P7X5KrXI, 5712470]
[paragraph, [51.0, 393.0, 134.0, 18.0], 18P7X5KrXI, 5712470]
[paragraph, [356.0, 333.0, 199.0, 18.0], oeNDcIVLiS, 5712470]
[paragraph, [356.0, 351.0, 199.0, 18.0], oeNDcIVLiS, 5712470]
[paragraph, [356.0, 369.0, 199.0, 18.0], oeNDcIVLiS, 5712470]
[paragraph, [356.0, 387.0, 199.0, 18.0], oeNDcIVLiS, 5712470]
[paragraph, [356.0, 405.0, 199.0, 18.0], oeNDcIVLiS, 5712470]
[paragraph, [356.0, 423.0, 199.0, 18.0], oeNDcIVLiS, 5712470]
[paragraph, [356.0, 441.0, 199.0, 18.0], oeNDcIVLiS, 5712470]
[paragraph, [51.0, 425.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 443.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 461.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 479.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 497.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 515.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 533.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 551.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 569.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[paragraph, [51.0, 587.0, 302.0, 18.0], svc4hRW4Kt, 5712470]
[sub-section-title, [361.0, 466.0, 189.0, 25.5], GG9l-j7R-S, 5712470]
[paragraph, [356.0, 503.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [356.0, 521.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [356.0, 539.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [356.0, 557.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [356.0, 575.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [356.0, 593.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [356.0, 611.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [356.0, 629.0, 197.0, 18.0], SJzuuDg-k_, 5712470]
[paragraph, [43.0, 628.0, 310.0, 18.0], -dCzNV6tse, 5712470]
[paragraph, [43.0, 646.0, 310.0, 18.0], -dCzNV6tse, 5712470]
[paragraph, [43.0, 664.0, 310.0, 18.0], -dCzNV6tse, 5712470]
[paragraph, [43.0, 682.0, 310.0, 18.0], -dCzNV6tse, 5712470]
[paragraph, [43.0, 700.0, 310.0, 18.0], -dCzNV6tse, 5712470]
[paragraph, [43.0, 718.0, 310.0, 18.0], -dCzNV6tse, 5712470]
[paragraph, [43.0, 736.0, 310.0, 18.0], -dCzNV6tse, 5712470]
[paragraph, [355.0, 681.0, 199.0, 18.0], fOUU0QqsBu, 5712470]
[paragraph, [355.0, 699.0, 199.0, 18.0], fOUU0QqsBu, 5712470]
[paragraph, [355.0, 717.0, 199.0, 18.0], fOUU0QqsBu, 5712470]
[paragraph, [355.0, 735.0, 199.0, 18.0], fOUU0QqsBu, 5712470]
[folio, [64.0, 770.0, 106.0, 18.0], 5H1rIYEMWK, 5712470]
