[842, 596]
[ordered-list, [74.0, 72.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[ordered-list, [74.0, 90.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[ordered-list, [74.0, 108.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[ordered-list, [74.0, 126.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[ordered-list, [74.0, 144.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[ordered-list, [74.0, 162.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[ordered-list, [74.0, 180.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[ordered-list, [74.0, 198.0, 387.0, 18.0], RXrO_xckmV, 5658495]
[subsub-section-title, [282.0, 305.0, 61.0, 15.0], RRx2qVvVYQ, 5658495]
[ordered-list, [72.0, 335.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 353.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 371.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 389.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 407.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 425.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 443.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 461.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 479.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 497.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 515.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 533.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 551.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 569.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 587.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 605.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[ordered-list, [72.0, 623.0, 333.0, 18.0], shoonya_0sZI7Q0N1DMVXM, 5658495]
[sub-ordered-list, [112.0, 447.0, 287.0, 18.0], R428wd5JYk, 5658495]
[sub-ordered-list, [112.0, 465.0, 287.0, 18.0], R428wd5JYk, 5658495]
[sub-ordered-list, [112.0, 483.0, 287.0, 18.0], R428wd5JYk, 5658495]
[sub-ordered-list, [112.0, 501.0, 287.0, 18.0], R428wd5JYk, 5658495]
[sub-ordered-list, [108.0, 567.0, 232.0, 18.0], 98ZWc41m17, 5658495]
[sub-ordered-list, [108.0, 585.0, 232.0, 18.0], 98ZWc41m17, 5658495]
[sub-ordered-list, [108.0, 603.0, 232.0, 18.0], 98ZWc41m17, 5658495]
[sub-ordered-list, [108.0, 621.0, 232.0, 18.0], 98ZWc41m17, 5658495]
[subsub-section-title, [302.0, 660.0, 55.0, 15.0], OzChNmE7kI, 5658495]
[ordered-list, [72.0, 696.0, 460.0, 18.0], nogC0Q7zl0, 5658495]
[ordered-list, [72.0, 714.0, 460.0, 18.0], nogC0Q7zl0, 5658495]
[footnote, [65.0, 774.0, 492.0, 18.0], kvyHbWYGAp, 5658495]
[footnote, [65.0, 792.0, 492.0, 18.0], kvyHbWYGAp, 5658495]
