[1755, 1240]
[paragraph, [216.0, 144.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 180.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 216.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 252.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 288.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 324.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 360.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 396.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [216.0, 432.0, 883.0, 36.0], shoonya_0sKPEGHPAMCRUQ, 5693566]
[paragraph, [213.0, 511.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 547.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 583.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 619.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 655.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 691.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 727.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 763.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 799.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 835.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 871.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 907.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 943.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 979.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1015.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1051.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1087.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1123.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1159.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1195.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1231.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1267.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [213.0, 1303.0, 879.0, 36.0], shoonya_1s761RZW5CO9U1, 5693566]
[paragraph, [216.0, 1390.0, 888.0, 36.0], shoonya_2sT40DTG0LH0LE, 5693566]
[paragraph, [216.0, 1426.0, 888.0, 36.0], shoonya_2sT40DTG0LH0LE, 5693566]
[paragraph, [216.0, 1462.0, 888.0, 36.0], shoonya_2sT40DTG0LH0LE, 5693566]
[paragraph, [216.0, 1498.0, 888.0, 36.0], shoonya_2sT40DTG0LH0LE, 5693566]
