[1565, 1152]
[section-title, [803.0, 90.0, 204.0, 49.5], EQHrkMdu32, 5713035]
[section-title, [803.0, 139.5, 204.0, 49.5], EQHrkMdu32, 5713035]
[headline, [470.0, 276.0, 558.0, 37.5], shoonya_7sNYUDNCF1E0LZ, 5713035]
[headline, [470.0, 313.5, 558.0, 37.5], shoonya_7sNYUDNCF1E0LZ, 5713035]
[headline, [470.0, 351.0, 558.0, 37.5], shoonya_7sNYUDNCF1E0LZ, 5713035]
[paragraph, [729.0, 423.0, 306.0, 36.0], shoonya_3sFPJYEURVIUXW, 5713035]
[paragraph, [729.0, 459.0, 306.0, 36.0], shoonya_3sFPJYEURVIUXW, 5713035]
[paragraph, [729.0, 495.0, 306.0, 36.0], shoonya_3sFPJYEURVIUXW, 5713035]
[paragraph, [729.0, 531.0, 306.0, 36.0], shoonya_3sFPJYEURVIUXW, 5713035]
[paragraph, [417.0, 451.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 487.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 523.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 559.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 595.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 631.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 667.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 703.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 739.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 775.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 811.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [417.0, 847.0, 313.0, 36.0], shoonya_1sIP2MJJ04QWGB, 5713035]
[paragraph, [101.0, 548.0, 312.0, 36.0], shoonya_10s5W0CXI77691, 5713035]
