[700, 484]
[paragraph, [40.0, 100.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 118.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 136.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 154.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 172.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 190.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 208.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 226.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 244.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [40.0, 262.0, 397.0, 18.0], VG0IAaRXDS, 6464936]
[paragraph, [41.0, 304.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 322.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 340.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 358.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 376.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 394.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 412.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 430.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [41.0, 448.0, 403.0, 18.0], GuDInm2Ov0, 6464936]
[paragraph, [42.0, 528.0, 396.0, 18.0], i-K_8jy5Sr, 6464936]
[paragraph, [42.0, 546.0, 396.0, 18.0], i-K_8jy5Sr, 6464936]
[paragraph, [42.0, 564.0, 396.0, 18.0], i-K_8jy5Sr, 6464936]
[paragraph, [42.0, 582.0, 396.0, 18.0], i-K_8jy5Sr, 6464936]
[paragraph, [42.0, 600.0, 396.0, 18.0], i-K_8jy5Sr, 6464936]
[paragraph, [42.0, 618.0, 396.0, 18.0], i-K_8jy5Sr, 6464936]
[paragraph, [42.0, 636.0, 396.0, 18.0], i-K_8jy5Sr, 6464936]
