[2339, 1653]
[folio, [272.0, 214.0, 231.0, 36.0], zbMeG40RdN, 5655012]
[paragraph, [290.0, 313.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [290.0, 349.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [290.0, 385.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [290.0, 421.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [290.0, 457.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [290.0, 493.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [290.0, 529.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [290.0, 565.0, 1080.0, 36.0], shoonya_0s54XQ3U9XLQ64, 5655012]
[paragraph, [286.0, 651.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 687.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 723.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 759.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 795.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 831.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 867.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 903.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 939.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 975.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 1011.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 1047.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 1083.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 1119.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [286.0, 1155.0, 1079.0, 36.0], shoonya_2sFFEVFMOIWVRC, 5655012]
[paragraph, [284.0, 1233.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1269.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1305.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1341.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1377.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1413.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1449.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1485.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1521.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1557.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1593.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1629.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1665.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1701.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[paragraph, [284.0, 1737.0, 1078.0, 36.0], shoonya_3sSXQLTNPKXTAM, 5655012]
[section-title, [284.0, 1833.0, 943.0, 52.5], U8gmmYjXlo, 5655012]
[paragraph, [286.0, 1908.0, 1088.0, 36.0], shoonya_4sA3ZEGPJ7LC2L, 5655012]
[paragraph, [286.0, 1944.0, 1088.0, 36.0], shoonya_4sA3ZEGPJ7LC2L, 5655012]
[paragraph, [286.0, 1980.0, 1088.0, 36.0], shoonya_4sA3ZEGPJ7LC2L, 5655012]
[paragraph, [286.0, 2016.0, 1088.0, 36.0], shoonya_4sA3ZEGPJ7LC2L, 5655012]
[paragraph, [286.0, 2052.0, 1088.0, 36.0], shoonya_4sA3ZEGPJ7LC2L, 5655012]
