[709, 412]
[folio, [176.0, 26.0, 58.0, 18.0], GfCsg0N8nT, 5740859]
[paragraph, [22.0, 48.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 66.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 84.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 102.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 120.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 138.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 156.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 174.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 192.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 210.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 228.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 246.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 264.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 282.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 300.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 318.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 336.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 354.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 372.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 390.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 408.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 426.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 444.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 462.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 480.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 498.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 516.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 534.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 552.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 570.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 588.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 606.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 624.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [22.0, 642.0, 183.0, 18.0], wZN6kojG50, 5740859]
[paragraph, [203.0, 63.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 81.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 99.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 117.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 135.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 153.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 171.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 189.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 207.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 225.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 243.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 261.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 279.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 297.0, 180.0, 18.0], ollF2BI3DO, 5740859]
[paragraph, [203.0, 315.0, 180.0, 18.0], ollF2BI3DO, 5740859]
