[2339, 1656]
[paragraph, [824.0, 77.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 113.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 149.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 185.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 221.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 257.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 293.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 329.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [824.0, 365.0, 711.0, 36.0], shoonya_0sPJZ9T2I265LV, 5750201]
[paragraph, [92.0, 86.0, 700.0, 36.0], shoonya_3sQ7TWCB4MBBJR, 5750201]
[paragraph, [92.0, 122.0, 700.0, 36.0], shoonya_3sQ7TWCB4MBBJR, 5750201]
[paragraph, [92.0, 158.0, 700.0, 36.0], shoonya_3sQ7TWCB4MBBJR, 5750201]
[paragraph, [92.0, 194.0, 700.0, 36.0], shoonya_3sQ7TWCB4MBBJR, 5750201]
[paragraph, [92.0, 230.0, 700.0, 36.0], shoonya_3sQ7TWCB4MBBJR, 5750201]
[paragraph, [92.0, 266.0, 700.0, 36.0], shoonya_3sQ7TWCB4MBBJR, 5750201]
[paragraph, [86.0, 300.0, 707.0, 36.0], shoonya_2sZ0JCF7PDO4XJ, 5750201]
[paragraph, [86.0, 336.0, 707.0, 36.0], shoonya_2sZ0JCF7PDO4XJ, 5750201]
[paragraph, [86.0, 372.0, 707.0, 36.0], shoonya_2sZ0JCF7PDO4XJ, 5750201]
[paragraph, [86.0, 408.0, 707.0, 36.0], shoonya_2sZ0JCF7PDO4XJ, 5750201]
[paragraph, [86.0, 444.0, 707.0, 36.0], shoonya_2sZ0JCF7PDO4XJ, 5750201]
[paragraph, [86.0, 480.0, 707.0, 36.0], shoonya_2sZ0JCF7PDO4XJ, 5750201]
[paragraph, [86.0, 516.0, 707.0, 36.0], shoonya_2sZ0JCF7PDO4XJ, 5750201]
[paragraph, [829.0, 401.0, 708.0, 36.0], shoonya_10s9QYC2KLY2UP, 5750201]
[paragraph, [829.0, 437.0, 708.0, 36.0], shoonya_10s9QYC2KLY2UP, 5750201]
[paragraph, [829.0, 473.0, 708.0, 36.0], shoonya_10s9QYC2KLY2UP, 5750201]
[paragraph, [829.0, 509.0, 708.0, 36.0], shoonya_10s9QYC2KLY2UP, 5750201]
[paragraph, [829.0, 545.0, 708.0, 36.0], shoonya_10s9QYC2KLY2UP, 5750201]
[paragraph, [829.0, 581.0, 708.0, 36.0], shoonya_10s9QYC2KLY2UP, 5750201]
[paragraph, [90.0, 602.0, 714.0, 36.0], shoonya_1sMVPD0FG8SYC9, 5750201]
