[1875, 1200]
[folio, [295.0, 217.0, 728.0, 36.0], kLuEJf2ASe, 5710558]
[paragraph, [181.0, 273.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 309.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 345.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 381.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 417.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 453.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 489.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 525.0, 866.0, 36.0], shoonya_1s7IAB0WWI2UEG, 5710558]
[paragraph, [181.0, 586.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 622.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 658.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 694.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 730.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 766.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 802.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 838.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 874.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 910.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 946.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 982.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 1018.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 1054.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 1090.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 1126.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [181.0, 1162.0, 869.0, 36.0], Bdukz9bkV3, 5710558]
[paragraph, [144.0, 1297.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1333.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1369.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1405.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1441.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1477.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1513.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1549.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
[paragraph, [144.0, 1585.0, 937.0, 36.0], Jp7dC1-f7q, 5710558]
