[1031, 622]
[section-title, [259.0, 69.0, 98.0, 30.0], shoonya_1sF1JDG6WGHZWF, 5709621]
[paragraph, [58.0, 107.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 125.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 143.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 161.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 179.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 197.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 215.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 233.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 251.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 269.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 287.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 305.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 323.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 341.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 359.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 377.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 395.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 413.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 431.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 449.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[paragraph, [58.0, 467.0, 501.0, 18.0], shoonya_0sO48FRTUJ85FN, 5709621]
[contact-info, [140.0, 932.0, 339.0, 18.0], nulO0lt5yl, 5709621]
[contact-info, [140.0, 950.0, 339.0, 18.0], nulO0lt5yl, 5709621]
