[1755, 1240]
[paragraph, [231.0, 221.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 257.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 293.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 329.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 365.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 401.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 437.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 473.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 509.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 545.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 581.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 617.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 653.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 689.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 725.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 761.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 797.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 833.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 869.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 905.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 941.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 977.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1013.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1049.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1085.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1121.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1157.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1193.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1229.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1265.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1301.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1337.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1373.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1409.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
[paragraph, [231.0, 1445.0, 777.0, 36.0], shoonya_0sP19RNI6NA3MX, 5744005]
