[1267, 753]
[folio, [330.0, 78.0, 106.0, 18.0], shoonya_1s08914RV9PFFY, 5700141]
[paragraph, [78.0, 128.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 146.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 164.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 182.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 200.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 218.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 236.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 254.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 272.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 290.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 308.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 326.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 344.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 362.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 380.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 398.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 416.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 434.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 452.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 470.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 488.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 506.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 524.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 542.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 560.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 578.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 596.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 614.0, 599.0, 18.0], shoonya_2sD1G4ZVLM2VHJ, 5700141]
[paragraph, [78.0, 641.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 659.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 677.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 695.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 713.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 731.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 749.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 767.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
[paragraph, [78.0, 785.0, 595.0, 18.0], shoonya_0sE8ATVXRJL7QZ, 5700141]
