[1387, 987]
[chapter-title, [373.0, 130.0, 217.0, 30.0], KglD9XtkqR, 5652080]
[chapter-title, [373.0, 160.0, 217.0, 30.0], KglD9XtkqR, 5652080]
[chapter-title, [373.0, 190.0, 217.0, 30.0], KglD9XtkqR, 5652080]
[paragraph, [43.0, 291.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 309.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 327.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 345.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 363.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 381.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 399.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 417.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 435.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 453.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 471.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 489.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 507.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 525.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 543.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 561.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 579.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 597.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [43.0, 615.0, 904.0, 18.0], shoonya_0sEWJJ3MWOWR6Z, 5652080]
[paragraph, [39.0, 652.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 670.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 688.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 706.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 724.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 742.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 760.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 778.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 796.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 814.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 832.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 850.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 868.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 886.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 904.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 922.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 940.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 958.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 976.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 994.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1012.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1030.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1048.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1066.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1084.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1102.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1120.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1138.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1156.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1174.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1192.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1210.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1228.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1246.0, 899.0, 18.0], jgIJfw_clK, 5652080]
[paragraph, [39.0, 1264.0, 899.0, 18.0], jgIJfw_clK, 5652080]
