[709, 412]
[folio, [175.0, 33.0, 48.0, 18.0], hBPuBr_y7_, 5741340]
[paragraph, [18.0, 59.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 77.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 95.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 113.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 131.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 149.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 167.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 185.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 203.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 221.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 239.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 257.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 275.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 293.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 311.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 329.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 347.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 365.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 383.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 401.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 419.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 437.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 455.0, 181.0, 18.0], spPkDGux9c, 5741340]
[paragraph, [18.0, 473.0, 181.0, 18.0], spPkDGux9c, 5741340]
