[2338, 1654]
[paragraph, [185.0, 188.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 224.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 260.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 296.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 332.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 368.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 404.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 440.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 476.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 512.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 548.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 584.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 620.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 656.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 692.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [185.0, 728.0, 1292.0, 36.0], shoonya_2sT20JLGS9F4IA, 5753633]
[paragraph, [188.0, 773.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 809.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 845.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 881.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 917.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 953.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 989.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1025.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1061.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1097.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1133.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1169.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1205.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1241.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1277.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [188.0, 1313.0, 1278.0, 36.0], shoonya_1s1FO4LVP7YMVO, 5753633]
[paragraph, [186.0, 1361.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1397.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1433.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1469.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1505.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1541.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1577.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1613.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1649.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1685.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1721.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1757.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1793.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1829.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1865.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1901.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1937.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 1973.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 2009.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
[paragraph, [186.0, 2045.0, 1289.0, 36.0], shoonya_0sY145JER25L94, 5753633]
