[1806, 1262]
[folio, [147.0, 102.0, 508.0, 36.0], shoonya_1sJ97IG8HDDWTN, 5681686]
[paragraph, [646.0, 178.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 214.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 250.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 286.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 322.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 358.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 394.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 430.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 466.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 502.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 538.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 574.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 610.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 646.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 682.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 718.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 754.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 790.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 826.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 862.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 898.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 934.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 970.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1006.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1042.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1078.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1114.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1150.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1186.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1222.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1258.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1294.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1330.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1366.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1402.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1438.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1474.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1510.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1546.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1582.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1618.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [646.0, 1654.0, 517.0, 36.0], y-lIRE2WRJ, 5681686]
[paragraph, [93.0, 184.0, 512.0, 36.0], 2Z5J4IV4RN, 5681686]
[paragraph, [93.0, 220.0, 512.0, 36.0], 2Z5J4IV4RN, 5681686]
[paragraph, [88.0, 335.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 371.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 407.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 443.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 479.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 515.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 551.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 587.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 623.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 659.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 695.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 731.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 767.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 803.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 839.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 875.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 911.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
[paragraph, [88.0, 947.0, 523.0, 36.0], aLxtT_Hmcx, 5681686]
