[1050, 693]
[folio, [78.0, 73.0, 99.0, 18.0], shoonya_3s505GAQHRK5BY, 5702576]
[folio, [78.0, 91.0, 99.0, 18.0], shoonya_3s505GAQHRK5BY, 5702576]
[paragraph, [81.0, 124.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 142.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 160.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 178.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 196.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 214.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 232.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 250.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 268.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 286.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 304.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 322.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 340.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 358.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 376.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 394.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 412.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 430.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [81.0, 448.0, 524.0, 18.0], shoonya_0sTTC9UFZEGVAN, 5702576]
[paragraph, [86.0, 476.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 494.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 512.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 530.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 548.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 566.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 584.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 602.0, 522.0, 18.0], shoonya_1sIQW9MOCW6GZ1, 5702576]
[paragraph, [86.0, 633.0, 521.0, 18.0], shoonya_2s4TXXA6FT9104, 5702576]
[paragraph, [86.0, 651.0, 521.0, 18.0], shoonya_2s4TXXA6FT9104, 5702576]
[paragraph, [86.0, 669.0, 521.0, 18.0], shoonya_2s4TXXA6FT9104, 5702576]
[paragraph, [86.0, 687.0, 521.0, 18.0], shoonya_2s4TXXA6FT9104, 5702576]
[paragraph, [86.0, 705.0, 521.0, 18.0], shoonya_2s4TXXA6FT9104, 5702576]
[paragraph, [86.0, 723.0, 521.0, 18.0], shoonya_2s4TXXA6FT9104, 5702576]
[paragraph, [87.0, 779.0, 521.0, 18.0], shoonya_4sEH44GF8X6HHI, 5702576]
[paragraph, [87.0, 797.0, 521.0, 18.0], shoonya_4sEH44GF8X6HHI, 5702576]
[paragraph, [87.0, 815.0, 521.0, 18.0], shoonya_4sEH44GF8X6HHI, 5702576]
[paragraph, [87.0, 833.0, 521.0, 18.0], shoonya_4sEH44GF8X6HHI, 5702576]
[paragraph, [87.0, 851.0, 521.0, 18.0], shoonya_4sEH44GF8X6HHI, 5702576]
[paragraph, [87.0, 869.0, 521.0, 18.0], shoonya_4sEH44GF8X6HHI, 5702576]
[paragraph, [90.0, 911.0, 519.0, 18.0], shoonya_5sERP2NU0AF51W, 5702576]
[paragraph, [90.0, 929.0, 519.0, 18.0], shoonya_5sERP2NU0AF51W, 5702576]
[paragraph, [90.0, 947.0, 519.0, 18.0], shoonya_5sERP2NU0AF51W, 5702576]
