[2339, 1653]
[folio, [665.0, 231.0, 291.0, 36.0], VSzTa_Ug05, 5688960]
[sidebar, [789.0, 349.0, 258.0, 36.0], qWue21enjZ, 5688960]
[sidebar, [624.0, 355.0, 150.0, 36.0], CwJkMQhisQ, 5688960]
[sidebar, [590.0, 407.0, 479.0, 36.0], p6IcAzex1N, 5688960]
[paragraph, [175.0, 459.0, 1320.0, 36.0], Al-sqooPGK, 5688960]
[paragraph, [175.0, 495.0, 1320.0, 36.0], Al-sqooPGK, 5688960]
[paragraph, [175.0, 531.0, 1320.0, 36.0], Al-sqooPGK, 5688960]
[paragraph, [175.0, 567.0, 1320.0, 36.0], Al-sqooPGK, 5688960]
[ordered-list, [157.0, 675.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 711.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 747.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 783.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 819.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 855.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 891.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 927.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[ordered-list, [157.0, 963.0, 1353.0, 36.0], MtJYt-klwZ, 5688960]
[reference, [276.0, 1126.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1162.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1198.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1234.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1270.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1306.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1342.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1378.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1414.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1450.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1486.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1522.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1558.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1594.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1630.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1666.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1702.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1738.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1774.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1810.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1846.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1882.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1918.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1954.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 1990.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 2026.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 2062.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 2098.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
[reference, [276.0, 2134.0, 1082.0, 36.0], aSsJ1dMObN, 5688960]
