[1275, 750]
[folio, [240.0, 87.0, 277.0, 18.0], shoonya_0sHKFFGEKMVKMF, 5767628]
[folio, [240.0, 105.0, 277.0, 18.0], shoonya_0sHKFFGEKMVKMF, 5767628]
[paragraph, [56.0, 155.0, 630.0, 18.0], fvpWBAPkRI, 5767628]
[paragraph, [56.0, 173.0, 630.0, 18.0], fvpWBAPkRI, 5767628]
[paragraph, [56.0, 191.0, 630.0, 18.0], fvpWBAPkRI, 5767628]
[paragraph, [56.0, 209.0, 630.0, 18.0], fvpWBAPkRI, 5767628]
[paragraph, [56.0, 227.0, 630.0, 18.0], fvpWBAPkRI, 5767628]
[paragraph, [56.0, 245.0, 630.0, 18.0], fvpWBAPkRI, 5767628]
[paragraph, [59.0, 262.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 280.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 298.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 316.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 334.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 352.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 370.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 388.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 406.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 424.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 442.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 460.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 478.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 496.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 514.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 532.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 550.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 568.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 586.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 604.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 622.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 640.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 658.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 676.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 694.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 712.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 730.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 748.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 766.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 784.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 802.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 820.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 838.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 856.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 874.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[paragraph, [59.0, 892.0, 627.0, 18.0], k3eGSsrMKE, 5767628]
[section-title, [231.0, 927.0, 275.0, 30.0], xk5Hh-IBOE, 5767628]
[section-title, [231.0, 957.0, 275.0, 30.0], xk5Hh-IBOE, 5767628]
[sub-section-title, [254.0, 996.0, 225.0, 25.5], i7GsgoFa9T, 5767628]
[sub-section-title, [254.0, 1021.5, 225.0, 25.5], i7GsgoFa9T, 5767628]
[paragraph, [87.0, 1054.0, 472.0, 18.0], raT287me_b, 5767628]
[paragraph, [87.0, 1072.0, 472.0, 18.0], raT287me_b, 5767628]
[paragraph, [87.0, 1090.0, 472.0, 18.0], raT287me_b, 5767628]
[paragraph, [87.0, 1108.0, 472.0, 18.0], raT287me_b, 5767628]
[paragraph, [87.0, 1126.0, 472.0, 18.0], raT287me_b, 5767628]
[paragraph, [440.0, 1147.0, 221.0, 18.0], shoonya_2sCBTUGKWA459A, 5767628]
[paragraph, [440.0, 1165.0, 221.0, 18.0], shoonya_2sCBTUGKWA459A, 5767628]
