[1754, 1241]
[section-title, [318.0, 94.0, 600.0, 49.5], LK5wPkcI0-, 5706889]
[section-title, [318.0, 143.5, 600.0, 49.5], LK5wPkcI0-, 5706889]
[folio, [141.0, 224.0, 176.0, 36.0], dZkz4jdXCL, 5706889]
[folio, [493.0, 232.0, 255.0, 36.0], CUZ0r3enKU, 5706889]
[folio, [890.0, 232.0, 210.0, 36.0], ZDyXw1Tm23, 5706889]
[section-title, [927.0, 347.0, 173.0, 49.5], O8H8uHU838, 5706889]
[ordered-list, [148.0, 434.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 470.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 506.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 542.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 578.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 614.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 650.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 686.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 722.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 758.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 794.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 830.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 866.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 902.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 938.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 974.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1010.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1046.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1082.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1118.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1154.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1190.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1226.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1262.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1298.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1334.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1370.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1406.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1442.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1478.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1514.0, 800.0, 36.0], NmSucx5T4d, 5706889]
[ordered-list, [148.0, 1550.0, 800.0, 36.0], NmSucx5T4d, 5706889]
