[2717, 1772]
[folio, [633.0, 234.0, 429.0, 46.5], G2mHvrVfkd, 5721180]
[paragraph, [211.0, 332.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 378.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 425.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 471.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 518.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 564.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 611.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 657.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 704.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 750.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 797.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 843.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 890.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 936.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 983.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1029.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1076.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1122.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1169.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1215.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1262.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1308.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1355.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1401.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1448.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1494.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1541.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1587.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1634.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1680.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1727.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1773.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1820.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1866.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1913.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 1959.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 2006.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 2052.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 2099.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 2145.5, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [211.0, 2192.0, 1339.0, 46.5], shoonya_0s8R2GTVKZQ04P, 5721180]
[paragraph, [235.0, 2289.0, 1314.0, 46.5], shoonya_1sBO2WHGHHNB6C, 5721180]
[paragraph, [235.0, 2335.5, 1314.0, 46.5], shoonya_1sBO2WHGHHNB6C, 5721180]
[paragraph, [235.0, 2382.0, 1314.0, 46.5], shoonya_1sBO2WHGHHNB6C, 5721180]
[paragraph, [235.0, 2428.5, 1314.0, 46.5], shoonya_1sBO2WHGHHNB6C, 5721180]
