[612, 396]
[paragraph, [26.0, 42.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 60.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 78.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 96.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 114.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 132.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 150.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 168.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 186.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 204.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [26.0, 222.0, 340.0, 18.0], shoonya_0sAFUO9COXKZLC, 5770733]
[paragraph, [27.0, 240.0, 338.0, 18.0], 6KfECLEtRq, 5770733]
[paragraph, [27.0, 258.0, 338.0, 18.0], 6KfECLEtRq, 5770733]
[paragraph, [26.0, 272.0, 339.0, 18.0], xoujzLi6LT, 5770733]
[paragraph, [26.0, 290.0, 339.0, 18.0], xoujzLi6LT, 5770733]
[paragraph, [29.0, 312.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 330.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 348.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 366.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 384.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 402.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 420.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 438.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [29.0, 456.0, 338.0, 18.0], nDFaH79BaD, 5770733]
[paragraph, [27.0, 476.0, 339.0, 18.0], K7yAX2QmGm, 5770733]
[paragraph, [27.0, 494.0, 339.0, 18.0], K7yAX2QmGm, 5770733]
[paragraph, [27.0, 512.0, 339.0, 18.0], K7yAX2QmGm, 5770733]
[paragraph, [27.0, 530.0, 339.0, 18.0], K7yAX2QmGm, 5770733]
[paragraph, [27.0, 548.0, 339.0, 18.0], K7yAX2QmGm, 5770733]
