[1260, 843]
[paragraph, [32.0, 20.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 38.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 56.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 74.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 92.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 110.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 128.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 146.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 164.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 182.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 200.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 218.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 236.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 254.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 272.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 290.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 308.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 326.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 344.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 362.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 380.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 398.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 416.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 434.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 452.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 470.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 488.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 506.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 524.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 542.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 560.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 578.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 596.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [32.0, 614.0, 779.0, 18.0], shoonya_2s13SUK3A6BG82, 5750551]
[paragraph, [25.0, 630.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 648.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 666.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 684.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 702.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 720.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 738.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 756.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
[paragraph, [25.0, 774.0, 782.0, 18.0], shoonya_1sBIG6FW5UC4WS, 5750551]
