[576, 360]
[paragraph, [28.0, 62.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 80.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 98.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 116.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 134.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 152.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 170.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 188.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 206.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 224.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 242.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 260.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 278.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 296.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 314.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 332.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 350.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 368.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 386.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 404.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 422.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 440.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 458.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 476.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
[paragraph, [28.0, 494.0, 303.0, 18.0], shoonya_0sY85T88T2TPMR, 6514344]
