[595, 419]
[folio, [148.0, 29.0, 115.0, 18.0], oLb835UzpM, 6460939]
[paragraph, [34.0, 67.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 85.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 103.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 121.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 139.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 157.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 175.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 193.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 211.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [34.0, 229.0, 343.0, 18.0], shoonya_0sMC8D94WXUUWF, 6460939]
[paragraph, [40.0, 259.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 277.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 295.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 313.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 331.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 349.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 367.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 385.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [40.0, 403.0, 336.0, 18.0], shoonya_1sLGF4SH1F8QPZ, 6460939]
[paragraph, [39.0, 430.0, 337.0, 18.0], shoonya_3sSYBC5ZGBW8M7, 6460939]
[paragraph, [39.0, 448.0, 337.0, 18.0], shoonya_3sSYBC5ZGBW8M7, 6460939]
[paragraph, [39.0, 466.0, 337.0, 18.0], shoonya_3sSYBC5ZGBW8M7, 6460939]
[paragraph, [39.0, 484.0, 337.0, 18.0], shoonya_3sSYBC5ZGBW8M7, 6460939]
[paragraph, [39.0, 502.0, 337.0, 18.0], shoonya_3sSYBC5ZGBW8M7, 6460939]
[paragraph, [39.0, 520.0, 337.0, 18.0], shoonya_3sSYBC5ZGBW8M7, 6460939]
[paragraph, [39.0, 538.0, 337.0, 18.0], shoonya_3sSYBC5ZGBW8M7, 6460939]
