[1350, 900]
[paragraph, [165.0, 240.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 258.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 276.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 294.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 312.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 330.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 348.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 366.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 384.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 402.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 420.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 438.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [165.0, 456.0, 564.0, 18.0], CXbrSmaC0S, 5760659]
[paragraph, [164.0, 504.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 522.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 540.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 558.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 576.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 594.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 612.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 630.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 648.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 666.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 684.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 702.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 720.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 738.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 756.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 774.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 792.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 810.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 828.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 846.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 864.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 882.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[paragraph, [164.0, 900.0, 555.0, 18.0], shoonya_0sPQ8US4WHJTBB, 5760659]
[author, [547.0, 968.0, 175.0, 18.0], baAprZ8BQP, 5760659]
[author, [547.0, 986.0, 175.0, 18.0], baAprZ8BQP, 5760659]
