[515, 334]
[section-title, [91.0, 189.0, 163.0, 30.0], 7XQ3sqIn87, 6533583]
[paragraph, [35.0, 223.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 241.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 259.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 277.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 295.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 313.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 331.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 349.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 367.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
[paragraph, [35.0, 385.0, 269.0, 18.0], shoonya_0sVOYX8KI1IRUO, 6533583]
