[1754, 1241]
[folio, [218.0, 172.0, 127.0, 36.0], Q0z4IgUrl0, 6468344]
[paragraph, [215.0, 221.0, 241.0, 36.0], XQQR636qG5, 6468344]
[unordered-list, [219.0, 359.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 395.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 431.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 467.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 503.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 539.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 575.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 611.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 647.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 683.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 719.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 755.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 791.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 827.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 863.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 899.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 935.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 971.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 1007.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 1043.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
[unordered-list, [219.0, 1079.0, 843.0, 36.0], shoonya_0sTNUEPODTGD12, 6468344]
