[2200, 1700]
[folio, [784.0, 395.0, 149.0, 36.0], shoonya_2s20008IVJ8Y3B, 5732622]
[paragraph, [466.0, 481.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 517.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 553.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 589.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 625.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 661.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 697.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 733.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 769.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 805.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 841.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 877.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 913.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 949.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 985.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 1021.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [466.0, 1057.0, 793.0, 36.0], shoonya_0sQUNY8DW1T9KG, 5732622]
[paragraph, [469.0, 1138.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1174.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1210.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1246.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1282.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1318.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1354.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1390.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1426.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1462.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1498.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1534.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1570.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1606.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1642.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[paragraph, [469.0, 1678.0, 793.0, 36.0], shoonya_1s9UD514GRVMQQ, 5732622]
[footnote, [1292.0, 2023.0, 227.0, 36.0], xHtmnCNVPY, 5732622]
[footnote, [1292.0, 2059.0, 227.0, 36.0], xHtmnCNVPY, 5732622]
[folio, [810.0, 2108.0, 180.0, 36.0], aQEHUN_EaK, 5732622]
