[2339, 1653]
[paragraph, [389.0, 161.0, 1009.0, 36.0], shoonya_2sV57JSDO7B5CA, 5733531]
[paragraph, [389.0, 197.0, 1009.0, 36.0], shoonya_2sV57JSDO7B5CA, 5733531]
[paragraph, [389.0, 233.0, 1009.0, 36.0], shoonya_2sV57JSDO7B5CA, 5733531]
[paragraph, [389.0, 269.0, 1009.0, 36.0], shoonya_2sV57JSDO7B5CA, 5733531]
[paragraph, [397.0, 346.0, 370.0, 36.0], shoonya_6sLRNYVOD20K89, 5733531]
[paragraph, [459.0, 415.0, 624.0, 36.0], shoonya_5sL2UZMAX8TWKK, 5733531]
[paragraph, [390.0, 472.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 508.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 544.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 580.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 616.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 652.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 688.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 724.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 760.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [390.0, 796.0, 1007.0, 36.0], shoonya_0sTHK0OZ2FJ3ND, 5733531]
[paragraph, [389.0, 858.0, 1002.0, 36.0], shoonya_3s1OJL2K2XFIPF, 5733531]
[paragraph, [389.0, 894.0, 1002.0, 36.0], shoonya_3s1OJL2K2XFIPF, 5733531]
[paragraph, [389.0, 930.0, 1002.0, 36.0], shoonya_3s1OJL2K2XFIPF, 5733531]
[paragraph, [389.0, 966.0, 1002.0, 36.0], shoonya_3s1OJL2K2XFIPF, 5733531]
[paragraph, [324.0, 1037.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1073.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1109.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1145.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1181.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1217.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1253.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1289.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1325.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1361.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1397.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1433.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1469.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1505.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1541.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1577.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1613.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1649.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1685.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1721.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1757.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1793.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1829.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1865.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1901.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1937.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 1973.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 2009.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[paragraph, [324.0, 2045.0, 1148.0, 36.0], shoonya_1sI0DO218FAAAA, 5733531]
[folio, [1124.0, 2155.0, 282.0, 36.0], 4_ga_IChnw, 5733531]
