[720, 504]
[section-title, [161.0, 21.0, 166.0, 30.0], shoonya_2sLJT1M4X9EKVZ, 5771785]
[ordered-list, [155.0, 57.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 75.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 93.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 111.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 129.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 147.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 165.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 183.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 201.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 219.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 237.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 255.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 273.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 291.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 309.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 327.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 345.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 363.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 381.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 399.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 417.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 435.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 453.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 471.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 489.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 507.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 525.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 543.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 561.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 579.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 597.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 615.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 633.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 651.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[ordered-list, [155.0, 669.0, 348.0, 18.0], NV1JqFHMH-, 5771785]
[paragraph, [161.0, 59.0, 117.0, 18.0], r-AW-MBwi_, 5771785]
[paragraph, [161.0, 77.0, 117.0, 18.0], r-AW-MBwi_, 5771785]
[paragraph, [161.0, 95.0, 117.0, 18.0], r-AW-MBwi_, 5771785]
[paragraph, [161.0, 113.0, 117.0, 18.0], r-AW-MBwi_, 5771785]
[paragraph, [161.0, 131.0, 117.0, 18.0], r-AW-MBwi_, 5771785]
[paragraph, [161.0, 149.0, 117.0, 18.0], r-AW-MBwi_, 5771785]
[sidebar, [14.0, 95.0, 132.0, 18.0], Q0WExPwX62, 5771785]
[sidebar, [14.0, 113.0, 132.0, 18.0], Q0WExPwX62, 5771785]
[sidebar, [14.0, 131.0, 132.0, 18.0], Q0WExPwX62, 5771785]
[sidebar, [14.0, 149.0, 132.0, 18.0], Q0WExPwX62, 5771785]
[sidebar, [14.0, 167.0, 132.0, 18.0], Q0WExPwX62, 5771785]
[paragraph, [159.0, 223.0, 123.0, 18.0], b-UHqG-YpG, 5771785]
[paragraph, [159.0, 241.0, 123.0, 18.0], b-UHqG-YpG, 5771785]
[paragraph, [162.0, 372.0, 118.0, 18.0], HQaXuheMkh, 5771785]
[paragraph, [162.0, 390.0, 118.0, 18.0], HQaXuheMkh, 5771785]
[paragraph, [162.0, 408.0, 118.0, 18.0], HQaXuheMkh, 5771785]
[paragraph, [6.0, 409.0, 136.0, 18.0], eFdBe9vI7O, 5771785]
[paragraph, [6.0, 427.0, 136.0, 18.0], eFdBe9vI7O, 5771785]
[paragraph, [6.0, 445.0, 136.0, 18.0], eFdBe9vI7O, 5771785]
[paragraph, [6.0, 463.0, 136.0, 18.0], eFdBe9vI7O, 5771785]
[paragraph, [6.0, 481.0, 136.0, 18.0], eFdBe9vI7O, 5771785]
[paragraph, [6.0, 499.0, 136.0, 18.0], eFdBe9vI7O, 5771785]
[paragraph, [11.0, 545.0, 140.0, 18.0], o9IqkaMuPU, 5771785]
[paragraph, [11.0, 563.0, 140.0, 18.0], o9IqkaMuPU, 5771785]
[paragraph, [11.0, 581.0, 140.0, 18.0], o9IqkaMuPU, 5771785]
[paragraph, [158.0, 548.0, 126.0, 18.0], iCSD2G-5jx, 5771785]
[paragraph, [158.0, 566.0, 126.0, 18.0], iCSD2G-5jx, 5771785]
[paragraph, [159.0, 597.0, 115.0, 18.0], shoonya_6sL5RGR4JLMXO4, 5771785]
[paragraph, [159.0, 615.0, 115.0, 18.0], shoonya_6sL5RGR4JLMXO4, 5771785]
[paragraph, [159.0, 633.0, 115.0, 18.0], shoonya_6sL5RGR4JLMXO4, 5771785]
