[554, 326]
[folio, [119.0, 18.0, 74.0, 18.0], shoonya_0s2OGHXZZFCSCV, 5681091]
[paragraph, [6.0, 42.0, 303.0, 18.0], shoonya_3sMQ65G72E7TZP, 5681091]
[paragraph, [6.0, 60.0, 303.0, 18.0], shoonya_3sMQ65G72E7TZP, 5681091]
[paragraph, [6.0, 78.0, 303.0, 18.0], shoonya_3sMQ65G72E7TZP, 5681091]
[paragraph, [6.0, 96.0, 303.0, 18.0], shoonya_3sMQ65G72E7TZP, 5681091]
[paragraph, [6.0, 114.0, 303.0, 18.0], shoonya_3sMQ65G72E7TZP, 5681091]
[paragraph, [6.0, 132.0, 303.0, 18.0], shoonya_3sMQ65G72E7TZP, 5681091]
[paragraph, [7.0, 171.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 189.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 207.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 225.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 243.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 261.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 279.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 297.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 315.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 333.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 351.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 369.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 387.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 405.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 423.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 441.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 459.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 477.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 495.0, 302.0, 18.0], StvRKQuvwV, 5681091]
[paragraph, [7.0, 513.0, 302.0, 18.0], StvRKQuvwV, 5681091]
