[3968, 2806]
[headline, [1190.0, 299.0, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 351.5, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 404.0, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 456.5, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 509.0, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 561.5, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 614.0, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 666.5, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 719.0, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 771.5, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 824.0, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[headline, [1190.0, 876.5, 1348.0, 52.5], shoonya_1sBCK2ZA6SM0JY, 5684148]
[author, [1356.0, 1323.0, 1077.0, 52.5], shoonya_2sPKNFIQ9O50X4, 5684148]
[author, [1356.0, 1375.5, 1077.0, 52.5], shoonya_2sPKNFIQ9O50X4, 5684148]
[author, [1356.0, 1428.0, 1077.0, 52.5], shoonya_2sPKNFIQ9O50X4, 5684148]
[paragraph, [192.0, 1608.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 1660.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 1713.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 1765.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 1818.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 1870.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 1923.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 1975.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2028.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2080.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2133.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2185.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2238.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2290.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2343.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2395.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2448.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2500.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2553.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2605.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2658.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2710.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2763.0, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
[paragraph, [192.0, 2815.5, 1216.0, 52.5], shoonya_3sZFV2NX3W0TSW, 5684148]
