[2337, 1642]
[paragraph, [144.0, 153.0, 1362.0, 36.0], shoonya_0sE5QIQ0JOQP8Q, 5752277]
[paragraph, [144.0, 189.0, 1362.0, 36.0], shoonya_0sE5QIQ0JOQP8Q, 5752277]
[paragraph, [144.0, 225.0, 1362.0, 36.0], shoonya_0sE5QIQ0JOQP8Q, 5752277]
[paragraph, [144.0, 261.0, 1362.0, 36.0], shoonya_0sE5QIQ0JOQP8Q, 5752277]
[headline, [139.0, 455.0, 642.0, 67.5], S2nNvvRnCS, 5752277]
[paragraph, [143.0, 570.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 606.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 642.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 678.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 714.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 750.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 786.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 822.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 858.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 894.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 930.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 966.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1002.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1038.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1074.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1110.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1146.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1182.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1218.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [143.0, 1254.0, 1369.0, 36.0], wMrKEZEaL2, 5752277]
[paragraph, [133.0, 1440.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1476.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1512.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1548.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1584.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1620.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1656.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1692.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1728.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1764.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1800.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1836.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1872.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1908.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1944.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 1980.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 2016.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[paragraph, [133.0, 2052.0, 1373.0, 36.0], MYGOO14XAW, 5752277]
[website-link, [552.0, 2254.0, 539.0, 18.0], cAB5HRrLSw, 5752277]
[website-link, [552.0, 2272.0, 539.0, 18.0], cAB5HRrLSw, 5752277]
[website-link, [552.0, 2290.0, 539.0, 18.0], cAB5HRrLSw, 5752277]
