[1754, 1241]
[section-title, [418.0, 93.0, 494.0, 49.5], EB7XZY5b3B, 5781319]
[ordered-list, [142.0, 204.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 240.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 276.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 312.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 348.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 384.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 420.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 456.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 492.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 528.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 564.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 600.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 636.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 672.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 708.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 744.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[ordered-list, [142.0, 780.0, 1057.0, 36.0], BYIg1bCk0j, 5781319]
[sidebar, [971.0, 220.0, 190.0, 36.0], 6tna2B6aeE, 5781319]
[sub-ordered-list, [237.0, 261.0, 881.0, 36.0], shoonya_6sIV17HYRGJKSQ, 5781319]
[sub-ordered-list, [237.0, 297.0, 881.0, 36.0], shoonya_6sIV17HYRGJKSQ, 5781319]
[sidebar, [983.0, 362.0, 164.0, 36.0], BKPLK_Yggw, 5781319]
[sub-ordered-list, [235.0, 409.0, 848.0, 36.0], shoonya_8sL1N33V3BB42I, 5781319]
[sub-ordered-list, [235.0, 445.0, 848.0, 36.0], shoonya_8sL1N33V3BB42I, 5781319]
[sidebar, [1000.0, 524.0, 161.0, 36.0], d7-QuOlk6_, 5781319]
[sub-ordered-list, [231.0, 570.0, 713.0, 36.0], 2IhLK7gwAV, 5781319]
[sub-ordered-list, [231.0, 606.0, 713.0, 36.0], 2IhLK7gwAV, 5781319]
[sidebar, [981.0, 671.0, 158.0, 36.0], n3t9JO_28p, 5781319]
[sub-ordered-list, [223.0, 716.0, 566.0, 36.0], 5RABP5UpV3, 5781319]
[sub-ordered-list, [223.0, 752.0, 566.0, 36.0], 5RABP5UpV3, 5781319]
[reference, [208.0, 871.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 907.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 943.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 979.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1015.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1051.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1087.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1123.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1159.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1195.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1231.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1267.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1303.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1339.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1375.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1411.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1447.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1483.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1519.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1555.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
[reference, [208.0, 1591.0, 936.0, 36.0], shoonya_0sVL7BH47YJ4KH, 5781319]
