[2339, 1653]
[paragraph, [233.0, 207.0, 1179.0, 36.0], shoonya_2sG2DYOEM7J654, 5685926]
[paragraph, [233.0, 243.0, 1179.0, 36.0], shoonya_2sG2DYOEM7J654, 5685926]
[paragraph, [233.0, 279.0, 1179.0, 36.0], shoonya_2sG2DYOEM7J654, 5685926]
[paragraph, [233.0, 315.0, 1179.0, 36.0], shoonya_2sG2DYOEM7J654, 5685926]
[paragraph, [233.0, 351.0, 1179.0, 36.0], shoonya_2sG2DYOEM7J654, 5685926]
[paragraph, [235.0, 431.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 467.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 503.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 539.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 575.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 611.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 647.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 683.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 719.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 755.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 791.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [235.0, 827.0, 1178.0, 36.0], shoonya_0sY6MI8W6LSZJI, 5685926]
[paragraph, [236.0, 886.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 922.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 958.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 994.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1030.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1066.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1102.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1138.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1174.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1210.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1246.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1282.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1318.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1354.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1390.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1426.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1462.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1498.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1534.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1570.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1606.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1642.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1678.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[paragraph, [236.0, 1714.0, 1175.0, 36.0], shoonya_1sCRTKWIJLQZX6, 5685926]
[ordered-list, [330.0, 1792.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
[ordered-list, [330.0, 1828.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
[ordered-list, [330.0, 1864.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
[ordered-list, [330.0, 1900.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
[ordered-list, [330.0, 1936.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
[ordered-list, [330.0, 1972.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
[ordered-list, [330.0, 2008.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
[ordered-list, [330.0, 2044.0, 641.0, 36.0], Ip7XUaOrEk, 5685926]
