[1650, 1275]
[paragraph, [176.0, 145.0, 911.0, 36.0], B_QjNsfjHf, 5704609]
[paragraph, [176.0, 181.0, 911.0, 36.0], B_QjNsfjHf, 5704609]
[paragraph, [181.0, 261.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 297.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 333.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 369.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 405.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 441.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 477.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 513.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 549.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 585.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 621.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 657.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 693.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 729.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 765.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 801.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 837.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 873.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 909.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 945.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 981.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1017.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1053.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1089.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1125.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1161.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1197.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1233.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1269.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [181.0, 1305.0, 913.0, 36.0], shoonya_0sVQSBGNTJSZ00, 5704609]
[paragraph, [187.0, 1373.0, 899.0, 36.0], shoonya_2sRQIMW9WT25L8, 5704609]
[paragraph, [187.0, 1409.0, 899.0, 36.0], shoonya_2sRQIMW9WT25L8, 5704609]
