[1387, 987]
[paragraph, [37.0, 90.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 108.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 126.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 144.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 162.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 180.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 198.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 216.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [37.0, 234.0, 872.0, 18.0], shoonya_3sVYKFQG5QBCYG, 5652100]
[paragraph, [64.0, 280.0, 843.0, 18.0], nbePIyPWXD, 5652100]
[paragraph, [64.0, 298.0, 843.0, 18.0], nbePIyPWXD, 5652100]
[paragraph, [64.0, 316.0, 843.0, 18.0], nbePIyPWXD, 5652100]
[paragraph, [64.0, 334.0, 843.0, 18.0], nbePIyPWXD, 5652100]
[paragraph, [64.0, 352.0, 843.0, 18.0], nbePIyPWXD, 5652100]
[paragraph, [64.0, 370.0, 843.0, 18.0], nbePIyPWXD, 5652100]
[paragraph, [57.0, 391.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 409.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 427.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 445.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 463.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 481.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 499.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 517.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 535.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 553.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 571.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 589.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 607.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
[paragraph, [57.0, 625.0, 866.0, 18.0], shoonya_0sRPSBCN4DSFU5, 5652100]
