[1152, 739]
[paragraph, [91.0, 187.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 205.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 223.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 241.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 259.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 277.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 295.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 313.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 331.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 349.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 367.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 385.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 403.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 421.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 439.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 457.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 475.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 493.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 511.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 529.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 547.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 565.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 583.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 601.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 619.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 637.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 655.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 673.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 691.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 709.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 727.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 745.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 763.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 781.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 799.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 817.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 835.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 853.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 871.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 889.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 907.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 925.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 943.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 961.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 979.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[paragraph, [91.0, 997.0, 544.0, 18.0], 7NIsY1tQqB, 5740896]
[footnote, [424.0, 1113.0, 258.0, 18.0], xvUpAcPADH, 5740896]
