[1839, 1268]
[paragraph, [174.0, 207.0, 968.0, 36.0], X8V46bP8Hn, 5744161]
[paragraph, [174.0, 243.0, 968.0, 36.0], X8V46bP8Hn, 5744161]
[paragraph, [174.0, 279.0, 968.0, 36.0], X8V46bP8Hn, 5744161]
[paragraph, [174.0, 315.0, 968.0, 36.0], X8V46bP8Hn, 5744161]
[paragraph, [174.0, 351.0, 968.0, 36.0], X8V46bP8Hn, 5744161]
[paragraph, [174.0, 387.0, 968.0, 36.0], X8V46bP8Hn, 5744161]
[paragraph, [174.0, 504.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 540.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 576.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 612.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 648.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 684.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 720.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 756.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 792.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 828.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 864.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 900.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 936.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 972.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1008.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1044.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1080.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1116.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1152.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1188.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1224.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1260.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1296.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1332.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1368.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1404.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1440.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1476.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [174.0, 1512.0, 948.0, 36.0], shoonya_0sXL8E11R3TMST, 5744161]
[paragraph, [318.0, 1570.0, 820.0, 36.0], DzbA4tytvL, 5744161]
[paragraph, [318.0, 1606.0, 820.0, 36.0], DzbA4tytvL, 5744161]
