[2067, 1567]
[folio, [183.0, 193.0, 158.0, 36.0], yh6aIkpknK, 5735822]
[folio, [1075.0, 195.0, 295.0, 36.0], T0KrPQT4UN, 5735822]
[paragraph, [789.0, 512.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [789.0, 548.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [789.0, 584.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [789.0, 620.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [789.0, 656.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [789.0, 692.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [789.0, 728.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [789.0, 764.0, 582.0, 36.0], shoonya_0s0OQNP8B5AV02, 5735822]
[paragraph, [189.0, 569.0, 149.0, 36.0], shoonya_13s79COXX8PHQ4, 5735822]
[paragraph, [452.0, 650.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 686.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 722.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 758.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 794.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 830.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 866.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 902.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [452.0, 938.0, 321.0, 36.0], shoonya_6sM1RHW6U7CPXT, 5735822]
[paragraph, [792.0, 829.0, 578.0, 36.0], shoonya_2s2SJGMMRQA6X7, 5735822]
[paragraph, [792.0, 865.0, 578.0, 36.0], shoonya_2s2SJGMMRQA6X7, 5735822]
[paragraph, [792.0, 901.0, 578.0, 36.0], shoonya_2s2SJGMMRQA6X7, 5735822]
[paragraph, [792.0, 937.0, 578.0, 36.0], shoonya_2s2SJGMMRQA6X7, 5735822]
[paragraph, [792.0, 973.0, 578.0, 36.0], shoonya_2s2SJGMMRQA6X7, 5735822]
[paragraph, [792.0, 1009.0, 578.0, 36.0], shoonya_2s2SJGMMRQA6X7, 5735822]
[paragraph, [792.0, 1045.0, 578.0, 36.0], shoonya_2s2SJGMMRQA6X7, 5735822]
[paragraph, [192.0, 1007.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1043.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1079.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1115.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1151.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1187.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1223.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1259.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [192.0, 1295.0, 581.0, 36.0], shoonya_4sHBBZPWW57LPB, 5735822]
[paragraph, [790.0, 1096.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1132.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1168.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1204.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1240.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1276.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1312.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1348.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1384.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1420.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1456.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
[paragraph, [790.0, 1492.0, 580.0, 36.0], shoonya_1sQPEG1RK65AHQ, 5735822]
