[1775, 1139]
[paragraph, [25.0, 145.0, 964.0, 36.0], shoonya_4sGG3DTAG98SYV, 5654012]
[paragraph, [25.0, 181.0, 964.0, 36.0], shoonya_4sGG3DTAG98SYV, 5654012]
[paragraph, [25.0, 217.0, 964.0, 36.0], shoonya_4sGG3DTAG98SYV, 5654012]
[paragraph, [260.0, 277.0, 507.0, 36.0], wcoafNH9ND, 5654012]
[paragraph, [260.0, 313.0, 507.0, 36.0], wcoafNH9ND, 5654012]
[paragraph, [37.0, 382.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 418.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 454.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 490.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 526.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 562.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 598.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 634.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [37.0, 670.0, 954.0, 36.0], shoonya_1sHYXNABMPS6JI, 5654012]
[paragraph, [49.0, 735.0, 940.0, 36.0], shoonya_2s65D1YNL2V802, 5654012]
[paragraph, [49.0, 771.0, 940.0, 36.0], shoonya_2s65D1YNL2V802, 5654012]
[paragraph, [49.0, 807.0, 940.0, 36.0], shoonya_2s65D1YNL2V802, 5654012]
[paragraph, [49.0, 843.0, 940.0, 36.0], shoonya_2s65D1YNL2V802, 5654012]
[paragraph, [54.0, 919.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 955.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 991.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1027.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1063.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1099.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1135.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1171.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1207.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1243.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1279.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1315.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1351.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [54.0, 1387.0, 936.0, 36.0], shoonya_0sMJQBJDXYJSZY, 5654012]
[paragraph, [64.0, 1461.0, 929.0, 36.0], shoonya_3s8NQI1HZ0M1SF, 5654012]
[paragraph, [64.0, 1497.0, 929.0, 36.0], shoonya_3s8NQI1HZ0M1SF, 5654012]
[paragraph, [64.0, 1533.0, 929.0, 36.0], shoonya_3s8NQI1HZ0M1SF, 5654012]
[paragraph, [64.0, 1569.0, 929.0, 36.0], shoonya_3s8NQI1HZ0M1SF, 5654012]
