[1754, 1241]
[section-title, [196.0, 732.0, 849.0, 49.5], shoonya_2s9J2HIYZSHXPC, 5706724]
[section-title, [196.0, 781.5, 849.0, 49.5], shoonya_2s9J2HIYZSHXPC, 5706724]
[paragraph, [338.0, 899.0, 567.0, 36.0], u_9HMqcFzx, 5706724]
[paragraph, [167.0, 992.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1028.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1064.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1100.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1136.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1172.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1208.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1244.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [167.0, 1280.0, 909.0, 36.0], jX3EtC-CXs, 5706724]
[paragraph, [505.0, 1372.0, 226.0, 36.0], shoonya_1sI8MKP1PR3DS2, 5706724]
