[542, 329]
[folio, [104.0, 15.0, 90.0, 18.0], shoonya_7s23NFDG1WVFXP, 5700628]
[ordered-list, [0.0, 37.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 55.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 73.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 91.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 109.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 127.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 145.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 163.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 181.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[ordered-list, [0.0, 199.0, 308.0, 18.0], shoonya_0s6LBEHIIKXAGI, 5700628]
[sub-ordered-list, [33.0, 88.0, 272.0, 18.0], JmI-Oh8pMj, 5700628]
[sub-ordered-list, [33.0, 106.0, 272.0, 18.0], JmI-Oh8pMj, 5700628]
[sub-ordered-list, [33.0, 124.0, 272.0, 18.0], JmI-Oh8pMj, 5700628]
[sub-ordered-list, [33.0, 142.0, 272.0, 18.0], JmI-Oh8pMj, 5700628]
[sub-ordered-list, [33.0, 160.0, 272.0, 18.0], JmI-Oh8pMj, 5700628]
[sub-ordered-list, [33.0, 178.0, 272.0, 18.0], JmI-Oh8pMj, 5700628]
[sub-ordered-list, [33.0, 196.0, 272.0, 18.0], JmI-Oh8pMj, 5700628]
[ordered-list, [10.0, 228.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 246.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 264.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 282.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 300.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 318.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 336.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 354.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 372.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 390.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 408.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 426.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 444.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 462.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 480.0, 306.0, 18.0], -6vZphqIuk, 5700628]
[ordered-list, [10.0, 498.0, 306.0, 18.0], -6vZphqIuk, 5700628]
