[1625, 1211]
[paragraph, [782.0, 89.0, 352.0, 36.0], Cnd3vUfTnz, 5742116]
[paragraph, [782.0, 125.0, 352.0, 36.0], Cnd3vUfTnz, 5742116]
[paragraph, [782.0, 161.0, 352.0, 36.0], Cnd3vUfTnz, 5742116]
[paragraph, [422.0, 98.0, 340.0, 36.0], g5dmJkhpi-, 5742116]
[paragraph, [422.0, 134.0, 340.0, 36.0], g5dmJkhpi-, 5742116]
[paragraph, [68.0, 101.0, 339.0, 36.0], z4hupqGr5D, 5742116]
[paragraph, [68.0, 137.0, 339.0, 36.0], z4hupqGr5D, 5742116]
[paragraph, [68.0, 173.0, 339.0, 36.0], z4hupqGr5D, 5742116]
[paragraph, [422.0, 205.0, 345.0, 36.0], K4XC8q_y9Z, 5742116]
[paragraph, [422.0, 241.0, 345.0, 36.0], K4XC8q_y9Z, 5742116]
[paragraph, [422.0, 277.0, 345.0, 36.0], K4XC8q_y9Z, 5742116]
[paragraph, [422.0, 313.0, 345.0, 36.0], K4XC8q_y9Z, 5742116]
[paragraph, [422.0, 349.0, 345.0, 36.0], K4XC8q_y9Z, 5742116]
[paragraph, [422.0, 385.0, 345.0, 36.0], K4XC8q_y9Z, 5742116]
[paragraph, [422.0, 421.0, 345.0, 36.0], K4XC8q_y9Z, 5742116]
[paragraph, [63.0, 216.0, 342.0, 36.0], nrF5ok8Bi9, 5742116]
[paragraph, [63.0, 252.0, 342.0, 36.0], nrF5ok8Bi9, 5742116]
[paragraph, [63.0, 288.0, 342.0, 36.0], nrF5ok8Bi9, 5742116]
[paragraph, [63.0, 324.0, 342.0, 36.0], nrF5ok8Bi9, 5742116]
[paragraph, [63.0, 360.0, 342.0, 36.0], nrF5ok8Bi9, 5742116]
[paragraph, [63.0, 396.0, 342.0, 36.0], nrF5ok8Bi9, 5742116]
[paragraph, [63.0, 432.0, 342.0, 36.0], nrF5ok8Bi9, 5742116]
[paragraph, [790.0, 240.0, 355.0, 36.0], shoonya_2sE1VNA1LQ626Q, 5742116]
[paragraph, [790.0, 276.0, 355.0, 36.0], shoonya_2sE1VNA1LQ626Q, 5742116]
[paragraph, [790.0, 312.0, 355.0, 36.0], shoonya_2sE1VNA1LQ626Q, 5742116]
[paragraph, [790.0, 348.0, 355.0, 36.0], shoonya_2sE1VNA1LQ626Q, 5742116]
