[1162, 749]
[folio, [327.0, 76.0, 87.0, 18.0], shoonya_2s7E2H72GIGA9G, 5699594]
[paragraph, [78.0, 126.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 144.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 162.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 180.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 198.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 216.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 234.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 252.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 270.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 288.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 306.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 324.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 342.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 360.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 378.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [78.0, 396.0, 591.0, 18.0], shoonya_1s33WR4KUSSNV4, 5699594]
[paragraph, [77.0, 436.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 454.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 472.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 490.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 508.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 526.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 544.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 562.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 580.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 598.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 616.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 634.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 652.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 670.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 688.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 706.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 724.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 742.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 760.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 778.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 796.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 814.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 832.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 850.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 868.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 886.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 904.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 922.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 940.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [77.0, 958.0, 592.0, 18.0], shoonya_0sZELTUV0UXTL0, 5699594]
[paragraph, [75.0, 986.0, 594.0, 18.0], 0rvn6QM7mF, 5699594]
[paragraph, [75.0, 1004.0, 594.0, 18.0], 0rvn6QM7mF, 5699594]
[paragraph, [75.0, 1022.0, 594.0, 18.0], 0rvn6QM7mF, 5699594]
[paragraph, [75.0, 1040.0, 594.0, 18.0], 0rvn6QM7mF, 5699594]
[paragraph, [75.0, 1058.0, 594.0, 18.0], 0rvn6QM7mF, 5699594]
